created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Apr 22 22:17:05 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The 10-year yield is telling us that there's a high risk of something 'breaking' in the system #gold #silver… https://t.co/RHtZ5K27Xk,0.16,0.5399999999999999,en,12179,43.0,davideiacovozzi,18,55,,"[{'text': 'gold', 'indices': [116, 121]}, {'text': 'silver', 'indices': [122, 129]}, {'text': 'crypto', 'indices': [130, 137]}]",['axelmeyerko'],
Fri Apr 22 13:44:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","German 10y mortgage rate went from 0,8% to 2,50% 👇 Can you hear the sound of German real estate bubble bursting? https://t.co/HidoiOkmaK",0.15,0.175,en,12179,32.0,davideiacovozzi,18,55,,[],['JoanaCotar'],
Fri Apr 22 06:10:34 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",When? https://t.co/kO2FfHKaZg,0.0,0.0666666666666666,en,12179,26.0,davideiacovozzi,18,55,False,[],['MichaelAArouet'],
Thu Apr 21 17:22:09 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The 30-year mortgage rate in the US rises to 5.11%, its highest level since 2010. Last year it hit an all-time low… https://t.co/acqYJLDaXI",-0.4,0.4,en,12179,213.0,davideiacovozzi,18,55,,[],['goldseek'],
Thu Apr 21 10:32:26 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rates rise until something breaks … is anything broken yet? https://t.co/brNJeK3WTb,-0.1,0.55,en,12179,417.0,davideiacovozzi,18,55,False,[],['charliebilello'],
Tue Apr 19 10:59:33 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Buying opportunities like this only occur every few years.  #bonds https://t.co/cyTVKNXkZD,0.4,0.6375,en,12179,162.0,davideiacovozzi,18,55,False,"[{'text': 'bonds', 'indices': [78, 84]}]",['biancoresearch'],
Tue Apr 19 10:58:15 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Welcome to September 2018.

Bond markets testing what risk assets and the private sector can handle.

Until they ca… https://t.co/MDd5DKfW1V",0.0,0.0,en,12179,45.0,davideiacovozzi,18,55,,[],['LanceRoberts'],
Mon Apr 18 09:31:42 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The horse thinks one thing, and he that saddles him another.",0.48828125,0.25,en,12179,4.0,davideiacovozzi,18,55,,[],['MacroAlf'],
Sun Apr 17 22:04:00 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Global growth optimism at all time lows! 

We should raise rates 8 to 9 more times and see what happens !!! https://t.co/2jQoQctrQJ",0.45,0.75,en,12179,4.0,davideiacovozzi,18,55,,[],['BotBenFranklin'],
Sun Apr 17 18:21:46 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","This is the most important chart in the world for the demand outlook... 

Demand is softening even before the Fed r… https://t.co/HEW1lNjt9g",0.25,0.5,en,12179,176.0,davideiacovozzi,18,55,,[],['Galactic_Trader'],
