,original_text,polarity,score
0,10 year yield telling u high risk something breaking system gold silver URL ,0.16,positive
1,german 10y mortgage rate went 50 backhand index pointing hear sound german real estate bubble bursting URL ,0.15,positive
3,30 year mortgage rate u rise 11 highest level since 2010 last year hit time low URL ,-0.4,negative
4,rate rise something break anything broken yet URL ,-0.1,negative
5,buying opportunity like occur every year bond URL ,0.4,positive
7,horse think one thing saddle another ,0.48828125,positive
8,global growth optimism time low raise rate time see happens URL ,0.45,positive
9,important chart world demand outlook demand softening even fed URL ,0.25,positive
10,annual mortgage payment u 35 higher peak 2006 bubble URL ,0.3366071428571429,positive
12,japanification yield gone japanification thesis actually suggests bit life blown URL ,0.175,positive
14,another reason deflation larger problem going forward inventory ramping neworders URL ,0.0477777777777777,positive
15,30 year mortgage rate highest since 2010 fed want cool demand slowing housi URL ,0.3999999999999999,positive
16,good example deflation coming fitch say oil price hover near 100 bbl mean gas URL ,-0.0625,negative
19,250 year productivity growth data post wwii pickup seems rather one episode long term produc URL ,0.5,positive
21,10 year yield event URL ,-0.45,negative
23,46 year trading absolutely astonished simple fact regardless asset asset class URL ,-0.4,negative
24,since 80 every time consumer sentiment depressing fed forced cut rate order stim URL ,0.5,positive
29,u financial asset market value 3x gdp holy crap URL ,0.5,positive
31,emmett law dread task us time energy task ,0.0166666666666666,positive
34,everyone predicts one know USER ,0.2,positive
38,USER truth like lion defend let loose defend augustine URL ,0.875,positive
39,spending money show people much money fastest way le money psychology money ,0.15,positive
40,theory difference theory practice practice yogiberra ,0.4181818181818181,positive
42,yield curve starting invert pointing u economic trouble ahead video time sound optio URL ,0.2857142857142857,positive
50,believe future ,0.5,positive
93,seem catch URL ,0.05,positive
94,important put thing context amp p500 total return including dividend last 12 month URL ,0.425,positive
96,china remembers hk well covid 22 amp elderly population got hit cbb sc URL ,-0.25,negative
98,credit vulnerable asian investor start reducing holding beginning happen bny URL ,-0.25,negative
99,bucha dog reunites owner moose approves camera flash wladyslaw musiienko URL ,0.5,positive
103,far 50 60k people died putin war ukrainian civilian second russian soldier URL ,-0.25,negative
106,deputy commander chief central district russia troop officially stated russia goal se URL ,0.225,positive
109,u dollar losing global reserve status time soon URL ,-0.05,negative
110,dictator brutal capricious weak serious problem putin URL ,-0.25,negative
112,china stole estimated 300 billion intellectual property annually many year espionage theft URL ,0.35,positive
114,chart support statement total return former lehman barclays bloom URL ,0.5,positive
115,yardeni research quicktakes april 21 2022 vertical ascent 10 year u treasury bond yield URL ,-0.25,negative
117,thought air war ukraine implication air force general caveat stating URL ,0.1666666666666666,positive
120,american gas market begin connect european one energy price problem europe crossin URL ,-0.25,negative
121,russia face many hurdle pivoting asia alternative european gas price big one russia de URL ,0.4,positive
123,USER 40 year history fed fund rate federalreserve economy market URL ,-0.1,negative
127,nominal gdp growth passed pre pandemic projection eurozone growth yet reach projection making URL ,-0.1333333333333333,negative
129,german wrong side history scholz merkel schroder big business russia URL ,0.2,positive
130,spell relief used car price initial poster child inflation peeled URL ,0.5,positive
131,first argue recession odds increasing important leading indicator meaningfully de URL ,-0.4,negative
132,thread unfathomable Germany rightly insists difficulty stopping gas import Russia yet could cover 30 th URL ,-0.5,negative
134,country pledging arm weapon transfer ukraine feb 24 mar 27 united state 77 billion estonia 24 URL ,-0.2,negative
136,first time record inflation hotter u grey median emerging market orange URL ,-0.1333333333333333,negative
137,stat day expecting russian tank loss high ukrainian low ukrai URL ,-0.5,negative
141,eu business group say western co shanghai facing logistical nightmare start reopen URL ,-0.2,negative
142,folded hand 100 left mutual aid fundraiser double exclamation mark folded hand 100 grocery family dm amp connect directly URL ,-1.0,negative
159,USER win seat majority would ontarians support party working together URL ,-0.4,negative
168,entire montreal canadiens organization mourning loss legendary hall famer canadiens ambassador URL ,0.5,positive
183,begging behalf family point broken heart please help folded hand 480 grocery family folded hand 60 phone URL ,-0.25,negative
185,complained partial video played judge ordered entire video played st URL ,0.5,positive
196,fed much damage market talking raising interest rate shrinking URL ,-0.0714285714285714,negative
200,breaking news prosecutor dropping criminal charge pamela moses memphis woman sentenced URL ,-0.125,negative
201,kevin mccarthy tape saying donald trump admitted guilty inciting insurrection ,-0.125,negative
205,need someone explain marjorie taylor greene supposed eligible serve member congr URL ,0.75,positive
206,moment dreading come active shooter kid school kid lockdown kid texting URL ,0.75,positive
209,sorry marjorietaylorgreene attorney say also represents donald trump try exert executive URL ,0.2202380952380952,positive
211,USER since lieutenant governor went tv yesterday say reinstate disney change URL ,-0.0833333333333333,negative
217,USER gary need voted outrageous lie URL ,0.4,positive
218,reminder trying remove marjorie taylor greene ballot seat would likely go URL ,0.325,positive
222,USER hate football hollywood award show intelligent people book disney free spee URL ,0.0454545454545454,positive
226,USER police car light also signed congressional map eliminate two black district police car light URL ,0.4,positive
230,celerbrate upcoming dexa app update 27th april teamed giveaway 00 00 dexa follow URL ,-0.8,negative
255,totally feeling right USER grinning squinting face URL ,0.5,positive
270,game night back video game head discord know win stardust eth nfts shop item muc URL ,0.5,positive
274,police car light zone cleared police car light green circle test subject lab access granted test tube orange circle clearance level limited access URL URL ,0.1287878787878787,positive
276,10 winner officially added clinical trial claim security card join wai URL ,0.5,positive
277,finally USER USER USER USER test tube thank entered URL ,0.0416666666666666,positive
278,woman health worker doctor analysing pssdstory entry extremely concerned finding URL ,-0.1319444444444444,negative
280,note opportunity become test subject need present duration th URL ,0.5,positive
283,system upgrade successful clearance level request visitor pas permit desk URL ,0.0833333333333333,positive
284,clipboard introducing latest lab partner clipboard welcome posse USER helping u control URL ,0.125,positive
286,welcome yogieland sparkle eye check mark button hyped free mint ever giving away guaranteed free mint sparkle follow URL ,-0.05,negative
288,wrapped gift giveaway wrapped gift pushpin project USER prize trophy sol trophy 5x og trophy 4x wl enter keycap follow USER URL ,-0.2,negative
289,USER underrated nft project right project learn ape invader genesis thread ,-0.1,negative
290,worm sold share discord link within 24 hour URL ,-0.0625,negative
291,reference last part episode make previous episode moonknight URL ,0.2,positive
292,wrapped gift giveaway wrapped gift pushpin project USER prize trophy sol 50 trophy 3x wl spot trophy 1x anglio discord inv enter URL ,0.0181818181818181,positive
298,going give away guaranteed free mint spot tweet eye sparkle enter backhand index pointing light skin tone eye follow USER eye rt URL ,0.5,positive
299,ready eye sparkle interaction considered guaranteed free mint URL ,-0.1,negative
300,guaranteed free mint giveaway eye sparkle enter backhand index pointing light skin tone eye follow USER eye rt like eye tag friend URL ,-0.2,negative
302,altcoins ticket financial freedom think generally take around year anybody find 200 URL ,0.5,positive
303,cult look like pump today rocket ,-0.5,negative
305,menzy 2nd airdrop live amp early bird catch mnz coin let get moving man running fill airdrop form jo URL ,-0.2,negative
306,giving away two USER whitelist spot OK hand bear ticket enter like retweet follow USER USER URL ,0.2583333333333333,positive
307,giveaway time stay mellow party popper whitelist giveaway party popper 5x wl spot enter keycap follow USER keycap URL ,0.1777777777777777,positive
311,maybe member congress participated level insurrection immediat URL ,-0.0732323232323232,negative
312,ps6 guess find upsetting false appeal first amendment one famous URL ,0.8,positive
315,weekly reminder since insurrection corporate interest given 21 million benefitting 147 URL ,0.2,positive
319,marjorie taylor greene perjuring kevin mccarthy said trump admitted responsibility insurrectio URL ,0.35,positive
321,reminder marjorie taylor greene actually helped incite insurrection despite claim URL ,0.2,positive
322,every day go without donald trump indicted leading deadly insurrection overthrow unite URL ,-0.05,negative
324,bitcoin able hold 40k weekend equity gold resumed trading since nasdaq future URL ,-0.1,negative
329,yesterday powell claimed hot labor market great worker today gap stock 20 70 202 URL ,0.5,positive
331,fed much damage market talking raising interest rate shrinking URL ,0.0333333333333333,positive
332,fascist maga traitor still congress prosecute every damn one URL ,0.5,positive
334,q4 2018 despite sign slowing economy fed indicated would keep hiking interest rate shrin URL ,-0.0125,negative
336,aoc moulton auchincloss jeffries schiff amp everyone else start makin noise democrat fe URL ,0.1534090909090908,positive
342,USER USER unicorn yes better thing possible actually choose problem URL ,0.4,positive
344,USER terrified answer question oath friday involvement january 6th URL ,0.0999999999999999,positive
345,marge greene lawyer cite ku klux klan leader case precedent justify action j5 URL ,0.2,positive
347,problem oath lie routinely spews every day day prosecute URL ,0.25,positive
349,lawyer saying marjorietaylorgreene victim january 6th attack scared marge seen URL ,0.375,positive
350,marge lawyer start saying voter right vote counted undoubtedly news URL ,0.41,positive
357,kevin mccarthy big liar hypocrite ,0.2981481481481481,positive
359,celerbrate upcoming dexa app update 27th april teamed giveaway 00 00 dexa follow URL ,0.4,positive
362,purchasing power pound fallen price good higher due well sole reas URL ,-0.24,negative
366,watch starmer standing simple basic decency rely URL ,-0.1,negative
367,britain deserves better labour get economy firing cylinder URL ,-0.4,negative
369,USER come day seen tory party prayer moved URL ,-0.15,negative
372,hilarious case defence shifting party aware party aware URL ,0.2,positive
375,really politician tell head church say easter sermon URL ,0.1944444444444444,positive
376,written speaker ask facilitate process whereby mp hold pm amp chancellor account URL ,-0.5,negative
377,ampule chemical agent including sarin found village bilky sumy region retreat russi URL ,-0.15,negative
383,chernihiv region crossing made connect oblast kyiv center strategic communica URL ,-0.3,negative
384,russian foreign ministry spokeswoman maria zakharova continues United Kingdom theme kyiv regime leadership URL ,-0.4,negative
386,high voltage defense minister ukraine need long range weapon prevent encirclement russia trying encircle ukraini URL ,-0.4499999999999999,negative
387,lonely road new zealand URL ,0.3,positive
389,socialism fireman saving house capitalism insurance company denying claim ,0.0454545454545454,positive
